Company Name,Email Address,Phone Number,Modify,Email
Thermo Fisher Life Technologies, customercare@thermofisher.com ,800-955-6288,(866) 528-9256,gicustrelations@thermofisher.com
Fisher Scientific,Fishersci.Orders@thermofisher.com,800-766-7000,,
MCE (MedChemExpress LLC),sales@MedChemExpress.com,609-228-6898,,
Sigma-Aldrich Inc,custserv@sial.com,800-325-3010,,
Abcam Inc,customersupport@abcam.com,888-772-2226,,
Addgene Inc,help@addgene.org,617-225-9000,,
"Airgas USA, LLC",info@airgas.com,866-935-3370,,
Alkali Scientific LLC,sales@alkaliscientific.com,888-927-5629,,
Baker Company,info@bakerco.com,800-992-2537,,
BioLegend Inc,cs@biolegend.com,877-246-5343,,
Bio-Rad Laboratories Inc,LSG_TechServ_US@bio-rad.com,800-424-6723,,
Bio-Techne Sales Corporation,info@bio-techne.com,800-343-7475,,
Cayman Chemical Company Inc,cayman@caymanchem.com,800-364-9897,,
Cell Signaling Technology,info@cellsignal.com,877-616-2355,,
"Cerillo, Inc.",hello@cerillo.bio,434-270-0066,,
Cole-Parmer,info@coleparmer.com,800-323-4340,,
Coriell Institute for Medical Research,csc@coriell.org,800-752-3805,,
Corning Incorporated,CLSCustServ@corning.com,800-492-1110,,
Creative Biogene,info@creative-biogene.com,631-626-9181,,
Creative Biolabs Inc,info@creative-biolabs.com,631-381-2994,,
Eurofins Genomics LLC,GenomicsSupport@eurofins.com,800-688-2248,,
Genesee Scientific LLC,info@geneseesci.com,800-789-5550,https://www.geneseesci.com/,
Global Life Sciences Solutions USA LLC,Not publicly listed; use contact form,Not publicly listed,,
Integrated DNA Technologies Inc,custcare@idtdna.com,800-328-2661,,
InvivoGen,info@invivogen.com,858-642-1988,,
LI-COR Biotech LLC,biosales@licor.com,800-645-4267,,
Omega Bio-tek Inc,info@omegabiotek.com,800-776-6342,,
PEPperPRINT GmbH,info@pepperprint.com,-11386,,
Pipette.com,info@pipette.com,800-243-3232,,
QIAGEN LLC,support@qiagen.com,800-426-8157,,
RWD Life Science Inc,info@rwdstco.com,858-900-5879,,
Santa Cruz Biotechnology,scbt@scbt.com,800-457-3801,,
STEMCELL Technologies Inc,info@stemcell.com,800-667-0322,,
Zymo Research Corp,info@zymoresearch.com,888-882-9682,,
IBL-America,Info@ibl-america.com,888-523-1246,,
invivogen,info@invivogen.com,888-457-5873,,
Thomas Scientific INC,CustomerService@ThomasSci.com,(833) 544-7447,,
VWR Internatonal LLC,customerservice@avantorsciences.com,1800-932-5000,https://www.avantorsciences.com/us/en/,
INVENT BIOTECHNOLOGIES INC,Invent Biotechnologies <info@inventbiotech.com>,(952) 400-6898,,
QIAGEN LLC,customercare-us@qiagen.com,800-426-8157,,
NEW ENGLAND BIOLABS INC,Info@neb.com,978-927-5054,,
BIOSEARCH TECHNOLOGIES INC,genomics.americas@lgcgroup.com,+1 888 575 9695,,
